Date,China,US,United_Kingdom,Italy,France,Germany,Spain,Iran,total
2020-12-18,87,250499,28560,15401,15875,32830,11815,7121,362188
2020-12-19,132,198794,27249,16305,17428,21679,0,6421,288008
2020-12-20,97,193421,36084,15102,12858,6444,0,6312,270318
2020-12-21,100,200925,33517,10869,5960,19256,22013,6151,298791
2020-12-22,78,203449,36931,13316,11861,36153,10654,6208,318650
2020-12-23,70,222520,39387,13908,14986,33758,12386,6261,343276
2020-12-24,85,211528,39149,18039,21718,26467,12662,6178,335826
2020-12-25,77,120705,32803,19037,20262,2140,0,6021,201045
2020-12-26,81,226988,34788,10405,3093,13504,0,5760,294619
2020-12-27,91,135776,32493,8937,8867,12399,0,5502,204065
2020-12-28,88,173625,41460,8581,3106,14004,24462,5908,271234
2020-12-29,77,202593,53275,11210,11494,19112,14089,6108,317958
2020-12-30,79,219911,50239,16202,26514,31941,16716,6272,367874
2020-12-31,87,312022,56029,23477,20002,23233,18047,6389,459286
2021-01-01,60,172389,53458,22210,19358,15575,0,6287,289337
2021-01-02,63,282395,57853,11825,3466,11036,0,6045,372683
2021-01-03,74,204017,55157,14245,12491,10356,0,5960,302300
2021-01-04,86,185531,58923,10798,4084,12320,30579,6073,308394
2021-01-05,64,229830,61087,15375,20833,18349,23700,6113,375351
2021-01-06,88,260228,62556,20326,25186,26663,0,6283,401330
2021-01-07,86,287874,52787,18416,21767,45333,42360,6360,474983
2021-01-08,78,304501,68192,17529,19860,19077,25456,6251,460944
2021-01-09,128,263448,60098,19976,20177,22824,0,5924,392575
2021-01-10,134,212946,55026,18625,15944,948,0,5968,309591
2021-01-11,96,203636,46275,12530,3816,11706,61422,6208,345689
2021-01-12,175,220490,45648,14242,19757,27210,25438,6408,359368
2021-01-13,180,229793,47662,15773,23932,25566,38869,6317,388092
2021-01-14,173,234461,48804,17243,21335,21343,35878,6471,385708
2021-01-15,168,247927,55885,16144,21317,8593,40197,6485,396716
2021-01-16,159,215544,41428,16310,21409,14817,0,6100,315767
2021-01-17,164,178539,38670,12544,16642,11484,0,6016,264059
2021-01-18,225,141582,37610,8825,3798,9253,84287,5806,291386
2021-01-19,159,154484,33454,10496,24023,12233,34291,5917,275057
2021-01-20,221,188540,38992,13568,26758,29003,41576,6182,344840
2021-01-21,242,191356,37977,14055,22710,8277,44357,6204,325178
2021-01-22,100,193247,40321,13633,23324,16366,42885,6332,336208
2021-01-23,161,177842,33652,13331,24093,12430,0,6180,267689
2021-01-24,200,141438,30111,11628,18436,10078,0,5945,217836
2021-01-25,155,129426,22244,8559,4301,6887,93822,6309,271703
2021-01-26,139,149850,20167,10584,22142,9387,36435,6420,255124
2021-01-27,114,156142,25369,15191,26951,15636,40285,6608,286296
2021-01-28,91,164602,28811,14360,23808,14883,34899,6527,287981
2021-01-29,102,166998,29145,13563,23235,12831,38118,6573,290565
2021-01-30,120,149717,23400,12713,24045,17518,0,6317,233830
2021-01-31,95,113831,21190,11249,19336,748,0,6268,172717
2021-02-01,64,124888,18668,7925,4388,6668,79686,6597,248884
2021-02-02,50,117853,16906,9651,23337,7690,29064,6820,211371
2021-02-03,49,122875,19215,13182,26406,12487,31596,6870,232680
2021-02-04,42,125311,20734,13656,20,13032,29960,7040,209795
2021-02-05,50,131566,19204,14213,45607,10835,28565,7054,257094
2021-02-06,30,116343,18363,13439,20588,8632,0,6990,184385
2021-02-07,41,90479,15904,11640,19715,6670,0,7065,151514
2021-02-08,46,82772,14138,7969,4343,4650,47095,7321,168334
2021-02-09,40,94167,12441,10612,19020,5728,16402,7640,166050
2021-02-10,19,95992,13077,12947,25409,9246,18114,7585,182389
2021-02-11,33,106011,13543,15137,21076,9928,17853,7474,191055
2021-02-12,32,100924,15198,13893,20709,9197,14581,7298,181832
2021-02-13,19,90919,13355,13523,21231,6484,0,7120,152651
2021-02-14,21,68402,10991,11060,16675,4838,0,7390,119377
2021-02-15,25,55734,9776,7344,4406,5132,30251,7760,120428
2021-02-16,15,59025,10636,10368,19596,5890,10057,8011,123598
2021-02-17,27,68674,12760,12066,25040,9598,10829,8042,147036
2021-02-18,18,72177,12095,13755,22518,9845,14515,8066,152989
2021-02-19,21,75519,12099,15470,24127,9050,11435,8017,155738
2021-02-20,22,73783,10453,14914,22371,7162,0,7922,136627
2021-02-21,31,55534,9835,13450,22046,6094,0,7931,114921
2021-02-22,26,55344,10659,9617,4654,4984,20849,8263,114396
2021-02-23,24,73234,8523,13299,20193,5764,7461,8330,136828
2021-02-24,24,74768,9947,16402,31527,10774,9212,8270,160924
2021-02-25,19,77603,10020,19871,25414,11032,9568,8206,161733
2021-02-26,34,75891,8588,20488,25216,9437,8341,8103,156098
2021-02-27,39,71256,7457,18902,24110,7671,0,7975,137410
2021-02-28,41,52029,6055,17440,19952,6118,0,8010,109645
2021-03-01,25,50530,5462,13106,4730,5274,15978,8510,103615
2021-03-02,23,57510,6411,17063,22872,6492,0,8495,118866
2021-03-03,24,67344,6420,20840,26811,10852,6137,8525,146953
2021-03-04,18,68884,6644,22845,25286,11393,6037,8404,149511
2021-03-05,21,68127,6024,24010,23507,9581,6654,8367,146291
2021-03-06,21,61146,6118,23633,23392,8264,0,8212,130786
2021-03-07,35,42147,5260,20724,21835,6504,0,8010,104515
2021-03-08,17,43381,4823,13882,5552,5129,11958,8313,93055
2021-03-09,26,55490,5869,19725,23180,6834,4012,8554,123690
2021-03-10,19,57528,6021,22275,29661,21163,7119,8603,152389
2021-03-11,31,61934,6835,25649,28092,4745,6255,8308,141849
2021-03-12,67,63058,6684,26790,25075,12770,5348,8088,147880
2021-03-13,57,55400,5617,26031,29763,10568,0,7802,135238
2021-03-14,29,38626,4695,21304,26451,8978,0,7593,107676
2021-03-15,43,53155,5130,15252,6474,6543,11358,7980,105935
2021-03-16,22,53496,5363,20376,30027,9673,4962,8380,132299
2021-03-17,17,60050,5793,23040,38520,17850,6092,7802,159164
2021-03-18,21,61643,6332,24901,35074,17052,6216,7530,158769
2021-03-19,17,61710,4872,25707,35118,16147,0,7620,151191
2021-03-20,20,58159,5639,23913,35343,13685,0,7540,144299
2021-03-21,15,34623,5356,20045,30664,10209,0,7260,108172
2021-03-22,27,49073,5407,24501,15809,8261,16471,7357,126906
2021-03-23,22,53171,5417,18739,14696,20969,5516,7290,125820
2021-03-24,21,87475,5626,21246,65391,23757,0,7605,211121
2021-03-25,20,68017,6277,23681,45661,21620,13419,7506,186201
2021-03-26,23,76192,6235,24076,41882,20689,7586,7980,184663
2021-03-27,17,63348,3909,23834,42625,17628,0,8120,159481
2021-03-28,13,45499,3947,19604,37128,1727,0,8751,116669
2021-03-29,16,67399,4783,12900,9106,10297,15501,9310,129312
2021-03-30,18,61369,4071,16055,30723,23681,4994,10250,151161
2021-03-31,22,68984,4115,23887,59050,25014,8534,10330,199936
2021-04-01,22,77420,4565,22184,50676,22679,7041,11750,196337
2021-04-02,45,73001,3422,21917,46683,16033,0,11660,172761
2021-04-03,22,64047,3424,21247,166,3673,9571,11420,113570
2021-04-04,40,37355,2405,18017,80635,10300,0,11680,160432
2021-04-05,40,69430,2831,10680,10793,5980,10360,13890,124004
2021-04-06,19,62549,2404,7763,8056,7593,6623,17430,112437
2021-04-07,33,75687,2797,13686,927,30377,8788,20954,153249
2021-04-08,31,80461,3124,17209,97033,26510,9901,22586,256855
2021-04-09,28,84448,0,18924,164,23935,10875,22478,160852
2021-04-10,15,69827,2713,17551,1404,18728,0,19666,129904
2021-04-11,29,46787,1730,15737,117902,2706,0,21063,205954
2021-04-12,22,63616,3686,9780,8550,12446,22744,23311,144155
2021-04-13,25,81227,2505,13439,39130,29421,6292,24760,196799
2021-04-14,15,75028,2529,16160,43507,31117,10474,25582,204412
